"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Delay, Jason","641511","2024","19","16",0.2,0.194,0.006000000000000005,0.4,0.241,0.15900000000000003,0.324,0.279,0.044999999999999984
"Waters, Drew","671221","2024","19","10",0.188,0.098,0.09,0.25,0.147,0.10300000000000001,0.269,0.201,0.068
"Collins, Isaac","686555","2024","19","7",0.118,0.11,0.007999999999999993,0.118,0.17,-0.05200000000000002,0.165,0.182,-0.016999999999999987
"Thompson, Bubba","669352","2024","18","7",0.111,0.166,-0.05500000000000001,0.167,0.27,-0.10300000000000001,0.119,0.192,-0.07300000000000001
"Barrosa, Jorge","678489","2024","18","16",0.176,0.346,-0.16999999999999998,0.294,0.444,-0.15000000000000002,0.199,0.348,-0.14899999999999997
"Ortega, Rafael","542364","2024","17","11",0.071,0.209,-0.138,0.071,0.251,-0.18,0.133,0.281,-0.14800000000000002
"Sullivan, Brett","664954","2024","17","12",0.188,0.121,0.067,0.375,0.219,0.156,0.265,0.183,0.08200000000000002
"Haggerty, Sam","664059","2024","16","11",0.067,0.17,-0.10300000000000001,0.067,0.198,-0.131,0.098,0.197,-0.099
"Heineman, Tyler","623168","2024","16","6",0.083,0.08,0.0030000000000000027,0.083,0.176,-0.09299999999999999,0.229,0.254,-0.024999999999999994
"Soto, Livan","670869","2024","16","10",0.231,0.263,-0.032,0.308,0.359,-0.05099999999999999,0.318,0.349,-0.030999999999999972
"Narváez, Carlos","665966","2024","15","7",0.231,0.257,-0.025999999999999995,0.231,0.308,-0.07699999999999999,0.268,0.306,-0.03799999999999998
"Reetz, Jakson","656883","2024","15","9",0.143,0.161,-0.018000000000000016,0.429,0.406,0.022999999999999965,0.266,0.268,-0.0020000000000000018
"Misner, Kameron","670224","2024","15","5",0.067,0.095,-0.027999999999999997,0.067,0.109,-0.041999999999999996,0.059,0.09,-0.031
"McKenna, Ryan","663630","2024","15","9",0.214,0.154,0.06,0.643,0.356,0.28700000000000003,0.378,0.244,0.134
"Keirsey Jr., DaShawn","680577","2024","14","12",0.154,0.246,-0.092,0.385,0.468,-0.08300000000000002,0.261,0.335,-0.07400000000000001
"Vázquez, Luis","676679","2024","14","7",0.083,0.112,-0.028999999999999998,0.083,0.122,-0.03899999999999999,0.114,0.169,-0.05500000000000001
"Feduccia, Hunter","676439","2024","14","10",0.333,0.219,0.11400000000000002,0.333,0.258,0.07500000000000001,0.35,0.285,0.065
"Baker, Darren","671117","2024","14","11",0.5,0.22,0.28,0.643,0.267,0.376,0.494,0.219,0.275
"Lockridge, Brandon","663604","2024","12","8",0.167,0.152,0.015000000000000013,0.417,0.281,0.13599999999999995,0.244,0.186,0.057999999999999996
