"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
682998,"Carroll, Corbin",1082,0.9039264828738512,829,"74.653640647",0.455637707948244,0.3039806996381182,0.23290203327171904,0.1942098914354644,0.1487985212569316,"7.305025518",20,-2.8026556975090577,253,0.23382624768946395,383,0.3539741219963031
669394,"Burger, Jake",648,0.9050279329608939,464,"74.646523071",0.5000000000000001,0.31896551724137934,0.22839506172839505,0.21551724137931033,0.15432098765432098,"7.434226512",13,-15.07549318077632,184,0.2839506172839506,240,0.37037037037037035
606466,"Marte, Ketel",844,0.9075268817204301,663,"74.616460948",0.45497630331753547,0.3559577677224736,0.2796208530805687,0.19306184012066366,0.15165876777251186,"7.834037192",14,-2.6059910510384805,181,0.21445497630331753,365,0.4324644549763033
666211,"Trammell, Taylor",218,0.9008264462809917,134,"74.565880688",0.44495412844036686,0.31343283582089554,0.1926605504587156,0.1417910447761194,0.0871559633027523,"7.804369266",6,-9.157171043153026,84,0.3853211009174312,69,0.3165137614678899
692585,"Fernández, Yanquiel",290,0.9206349206349206,203,"74.534854241",0.4517241379310345,0.2512315270935961,0.17586206896551723,0.12315270935960591,0.08620689655172414,"8.000572172",2,-7.533976944107521,87,0.3,89,0.30689655172413793
666464,"Encarnacion, Jerar",84,0.9032258064516129,56,"74.525672857",0.5357142857142856,0.375,0.25,0.19642857142857142,0.13095238095238096,"7.773504048",0,-3.4766442689246677,28,0.3333333333333333,37,0.44047619047619047
592669,"Renfroe, Hunter",151,0.8988095238095238,120,"74.511787152",0.4370860927152318,0.31666666666666665,0.25165562913907286,0.15,0.11920529801324503,"7.586721589",3,-11.779041298183552,31,0.2052980132450331,75,0.4966887417218543
701358,"Smith, Cam",885,0.9049079754601227,640,"74.498750667",0.4689265536723164,0.2546875,0.18418079096045198,0.1453125,0.10508474576271186,"7.315622395",16,-22.3520763232456,245,0.2768361581920904,294,0.33220338983050846
682829,"De La Cruz, Elly",1083,0.9055183946488294,750,"74.485111062",0.4496768236380425,0.344,0.23822714681440443,0.204,0.14127423822714683,"7.188370813",32,-16.818128744316184,333,0.3074792243767313,409,0.37765466297322253
592518,"Machado, Manny",1185,0.9045801526717557,891,"74.470258042",0.43037974683544306,0.35353535353535354,0.26582278481012656,0.21997755331088664,0.16540084388185655,"7.822820886",20,-16.378292677774912,294,0.2481012658227848,456,0.3848101265822785
668723,"Vilade, Ryan",29,0.90625,23,"74.439548966",0.44827586206896547,0.21739130434782608,0.1724137931034483,0.21739130434782608,0.1724137931034483,"7.135798276",0,-2.6693756058364406,6,0.20689655172413793,7,0.2413793103448276
656484,"Gray, Tristan",141,0.8980891719745223,93,"74.432102482",0.49645390070921996,0.3225806451612903,0.2127659574468085,0.1827956989247312,0.12056737588652482,"7.31184234",3,-5.493121691559416,48,0.3404255319148936,52,0.36879432624113473
676044,"Seymour, Bob",134,0.8993288590604027,87,"74.398529627",0.4552238805970148,0.28735632183908044,0.1865671641791045,0.12643678160919541,0.08208955223880597,"7.523574478",2,-5.444145591706119,47,0.35074626865671643,39,0.291044776119403
671056,"Herrera, Iván",703,0.9059278350515464,549,"74.395397681",0.47652916073968715,0.3224043715846995,0.25177809388335703,0.18761384335154827,0.1465149359886202,"7.840217368",4,-9.024973254005639,154,0.21906116642958748,273,0.3883357041251778
696100,"Goodman, Hunter",1035,0.905511811023622,728,"74.380206309",0.4270531400966183,0.3090659340659341,0.21739130434782608,0.16346153846153846,0.11497584541062802,"7.255008937",27,5.813713199840313,307,0.2966183574879227,356,0.34396135265700484
665052,"Conine, Griffin",139,0.9084967320261438,90,"74.353790863",0.45323741007194246,0.35555555555555557,0.2302158273381295,0.2,0.12949640287769784,"7.514512158",1,1.5710868179515576,49,0.35251798561151076,51,0.3669064748201439
